TimeT,TimeS,Mx,My,Px,Py,Cx,Cy,Cio,CtimeT,CtimeS,Gx,Gy,Gnum,PMDist
00:01.0040,1.004175,-1.846591,-0.1420453,-2.006421,-0.1648971,0,0,None,00:00.0000,0,0,0,0,0.1614554
00:01.0230,1.02317,-1.789773,-0.1136363,-1.958472,-0.1467262,0,0,None,00:00.0000,0,0,0,0,0.1719141
00:01.0390,1.038666,-1.704546,-0.1136363,-1.898169,-0.144672,0,0,None,00:00.0000,0,0,0,0,0.196095
00:01.0530,1.053282,-1.448864,-0.08522719,-1.82585,-0.124695,0,0,None,00:00.0000,0,0,0,0,0.3790465
00:01.0700,1.069946,-1.363636,-0.08522719,-1.673939,-0.1153808,0,0,None,00:00.0000,0,0,0,0,0.3117639
00:01.0890,1.089318,-1.193182,-0.02840906,-1.558609,-0.1044051,0,0,None,00:00.0000,0,0,0,0,0.3732459
00:01.1040,1.103514,-1.136364,-0.02840906,-1.446239,-0.08792993,0,0,None,00:00.0000,0,0,0,0,0.3155395
00:01.1210,1.121409,-1.079546,-0.02840906,-1.218488,-0.03436115,0,0,triggerEnter,00:00.0000,0,-0.9684876,-0.03436115,3,0.1390693
00:01.1210,1.121409,-1.079546,-0.02840906,-1.369471,-0.08276494,0,0,None,00:00.0000,0,0,0,0,0.2949769
00:01.1370,1.137372,-0.8806818,0,-1.235146,-0.03970151,0,0,None,00:00.0000,0,0,0,0,0.3566802
00:01.1540,1.153689,-0.7386366,0.02840936,-1.112764,-0.03143947,0,0,None,00:00.0000,0,0,0,0,0.3788843
00:01.1680,1.167828,-0.3409091,0.05681813,-0.9466435,-0.01119975,0,0,None,00:00.0000,0,0,0,0,0.6095412
00:01.1900,1.189608,-0.1704546,0.1136363,-0.7930738,0.01802345,0,0,None,00:00.0000,0,0,0,0,0.6299179
00:01.2110,1.211055,-0.1420456,0.1704544,-0.5525775,0.04023547,0,0,None,00:00.0000,0,0,0,0,0.4306894
00:01.2270,1.226795,-0.1420456,0.1704544,-0.3270148,0.07071182,0,0,None,00:00.0000,0,0,0,0,0.210148
00:01.2420,1.242374,-0.1420456,0.1704544,-0.2045039,0.1068586,0,0,None,00:00.0000,0,0,0,0,0.08913723
00:01.2590,1.259403,-0.1420456,0.1704544,-0.1872615,0.1091883,0,0,None,00:00.0000,0,0,0,0,0.07614464
00:01.2750,1.274692,-0.1420456,0.1704544,-0.1760568,0.1121118,0,0,None,00:00.0000,0,0,0,0,0.06753234
00:01.2900,1.2901,-0.1420456,0.1704544,-0.1712314,0.1134273,0,0,None,00:00.0000,0,0,0,0,0.0640617
00:01.3120,1.311845,-0.1420456,0.1704544,-0.1706069,0.113595,0,0,None,00:00.0000,0,0,0,0,0.06362969
00:01.3330,1.332617,-0.1420456,0.1704544,-0.1704926,0.113626,0,0,None,00:00.0000,0,0,0,0,0.06355069
00:01.3480,1.348428,-0.1420456,0.1704544,-0.1704632,0.1136339,0,0,None,00:00.0000,0,0,0,0,0.0635305
00:01.3670,1.367212,-0.1420456,0.1704544,-0.1704566,0.1136357,0,0,None,00:00.0000,0,0,0,0,0.06352591
00:01.3880,1.387923,-0.1420456,0.1704544,-0.1704551,0.1136361,0,0,None,00:00.0000,0,0,0,0,0.06352488
00:01.4070,1.406556,-0.1420456,0.1704544,-0.1704547,0.1136362,0,0,None,00:00.0000,0,0,0,0,0.06352465
00:01.4190,1.419312,-0.1420456,0.1704544,-0.1704546,0.1136362,0,0,None,00:00.0000,0,0,0,0,0.06352457
00:01.4350,1.434861,-0.1420456,0.1704544,-0.1704546,0.1136363,0,0,None,00:00.0000,0,0,0,0,0.06352454
00:01.4480,1.44765,-0.1420456,0.1704544,-0.1704546,0.1136363,0,0,None,00:00.0000,0,0,0,0,0.06352453
00:01.4620,1.46244,-0.1420456,0.1704544,-0.1704546,0.1136363,0,0,None,00:00.0000,0,0,0,0,0.06352453
00:01.4770,1.476526,-0.1420456,0.1704544,-0.1704546,0.1136363,0,0,None,00:00.0000,0,0,0,0,0.06352453
00:01.4960,1.495984,-0.08522728,0.2272725,-0.1704546,0.1136363,0,0,None,00:00.0000,0,0,0,0,0.1420454
00:01.5090,1.509475,0,0.3409094,-0.1704546,0.1136363,0,0,None,00:00.0000,0,0,0,0,0.2840912
00:01.5280,1.528203,0.08522728,0.3977275,-0.1374569,0.157633,0,0,None,00:00.0000,0,0,0,0,0.3274654
00:01.5440,1.544316,0.3409091,0.5965906,-0.05262129,0.2707474,0,0,None,00:00.0000,0,0,0,0,0.5109207
00:01.5660,1.565994,0.8522729,0.7386363,0.0762734,0.4016806,0,0,None,00:00.0000,0,0,0,0,0.845999
00:01.5850,1.585316,1.25,0.8522725,0.3702594,0.5896612,0,0,None,00:00.0000,0,0,0,0,0.9181001
00:01.6080,1.608008,1.392046,0.9090906,0.8040715,0.7237387,0,0,triggerEnter,00:00.0000,0,1.054071,0.7237387,4,0.6164976
00:01.6080,1.608008,1.392046,0.9090906,0.7759473,0.7174073,0,0,None,00:00.0000,0,0,0,0,0.6452287
00:01.6340,1.633902,1.448864,0.9375,1.126716,0.8365651,0,0,None,00:00.0000,0,0,0,0,0.3375901
00:01.6490,1.649291,1.505682,0.9375,1.313149,0.8946008,0,0,None,00:00.0000,0,0,0,0,0.1972537
00:01.6640,1.663565,1.590909,0.9659094,1.38311,0.9097495,0,0,None,00:00.0000,0,0,0,0,0.2152541
00:01.6810,1.680756,1.704546,0.9943181,1.488531,0.9464058,0,0,None,00:00.0000,0,0,0,0,0.2212643
00:01.7050,1.705457,1.789773,0.9943181,1.555179,0.9613711,0,0,None,00:00.0000,0,0,0,0,0.2368968
00:01.7220,1.721593,1.875,0.9943181,1.579127,0.9638022,0,0,None,00:00.0000,0,0,0,0,0.297443
00:01.7350,1.734857,2.215909,0.9943181,1.751689,0.988795,0,0,None,00:00.0000,0,0,0,0,0.4642529
00:01.7540,1.753902,2.329545,0.9943181,1.936007,0.9931517,0,0,None,00:00.0000,0,0,0,0,0.3935398
00:01.7710,1.770798,2.556818,0.9375,2.104507,0.9940174,0,0,None,00:00.0000,0,0,0,0,0.4558286
00:01.7870,1.787262,2.670454,0.9090906,2.245763,0.9942435,0,0,None,00:00.0000,0,0,0,0,0.4331441
00:01.8050,1.805424,2.897728,0.8238637,2.429659,0.9656265,0,0,None,00:00.0000,0,0,0,0,0.4890651
00:01.8270,1.826927,3.267045,0.7670456,2.588561,0.9283662,0,0,None,00:00.0000,0,0,0,0,0.6973988
00:01.8460,1.84613,3.409091,0.7670456,2.762036,0.8725432,0,0,None,00:00.0000,0,0,0,0,0.6555995
00:01.8660,1.866206,3.664773,0.7386363,3.216544,0.7775954,0,0,triggerEnter,00:00.0000,0,3.466544,0.7775954,5,0.4499188
00:01.8660,1.866206,3.664773,0.7386363,2.980309,0.8159072,0,0,None,00:00.0000,0,0,0,0,0.6888123
00:01.8820,1.882203,3.75,0.6818181,3.257489,0.776046,0,0,None,00:00.0000,0,0,0,0,0.5014446
00:01.9010,1.901184,4.0625,0.5965906,3.624045,0.7423772,0,0,None,00:00.0000,0,0,0,0,0.4620571
00:01.9400,1.940265,4.460227,0.4829544,3.63679,0.7362494,0,0,None,00:00.0000,0,0,0,0,0.8615145
00:01.9580,1.957961,4.659091,0.4261363,3.72709,0.6928334,0,0,None,00:00.0000,0,0,0,0,0.969409
00:01.9740,1.973893,4.829546,0.3977275,4.189201,0.5599318,0,0,None,00:00.0000,0,0,0,0,0.6605695
00:01.9900,1.989624,5.085227,0.1988637,4.612102,0.4395158,0,0,None,00:00.0000,0,0,0,0,0.5308121
00:02.0200,2.020255,5.227273,0.08522749,4.705493,0.4003241,0,0,None,00:00.0000,0,0,0,0,0.6095402
00:02.0430,2.042569,5.511364,-0.02840906,5.09839,0.1934414,0,0,triggerEnter,00:00.0000,0,5.34839,0.1934414,6,0.468791
00:02.0430,2.042569,5.511364,-0.02840906,4.958778,0.279447,0,0,None,00:00.0000,0,0,0,0,0.6325553
00:02.0630,2.062657,5.653409,-0.08522719,5.123845,0.1712898,0,0,None,00:00.0000,0,0,0,0,0.5884207
00:02.0810,2.080702,5.909091,-0.1988637,5.302394,0.06228284,0,0,None,00:00.0000,0,0,0,0,0.6605141
00:02.1030,2.103205,5.994318,-0.2272728,5.508556,-0.02374413,0,0,None,00:00.0000,0,0,0,0,0.5266771
00:02.1210,2.120646,6.136364,-0.2556819,5.640398,-0.08024453,0,0,None,00:00.0000,0,0,0,0,0.5260812
00:02.1370,2.137474,6.25,-0.2840909,5.917278,-0.1903917,0,0,None,00:00.0000,0,0,0,0,0.3456635
00:02.1620,2.161504,6.306819,-0.3125,6.041862,-0.2155499,0,0,None,00:00.0000,0,0,0,0,0.2821374
00:02.1770,2.176671,6.392046,-0.3125,6.154633,-0.2694799,0,0,None,00:00.0000,0,0,0,0,0.2412801
00:02.1940,2.194026,6.392046,-0.3125,6.246511,-0.2962192,0,0,None,00:00.0000,0,0,0,0,0.1464428
00:02.2090,2.208556,6.392046,-0.3125,6.339874,-0.3097008,0,0,None,00:00.0000,0,0,0,0,0.05224722
00:02.2270,2.226953,6.392046,-0.3125,6.380202,-0.3112631,0,0,None,00:00.0000,0,0,0,0,0.01190904
00:02.2420,2.241516,6.392046,-0.3125,6.3873,-0.3122383,0,0,None,00:00.0000,0,0,0,0,0.004753647
00:02.2580,2.258045,6.392046,-0.3125,6.389695,-0.3123311,0,0,None,00:00.0000,0,0,0,0,0.00235782
00:02.2700,2.269923,6.392046,-0.3125,6.391133,-0.3124068,0,0,None,00:00.0000,0,0,0,0,0.0009183636
00:02.2810,2.28142,6.392046,-0.3125,6.391816,-0.3124833,0,0,None,00:00.0000,0,0,0,0,0.0002313897
00:02.2960,2.296341,6.392046,-0.3125,6.391937,-0.3124897,0,0,None,00:00.0000,0,0,0,0,0.0001096759
00:02.3130,2.313269,6.392046,-0.3125,6.391994,-0.3124948,0,0,None,00:00.0000,0,0,0,0,5.271369E-05
00:02.3250,2.325473,6.392046,-0.3125,6.392037,-0.3124991,0,0,None,00:00.0000,0,0,0,0,9.103915E-06
00:02.3410,2.341213,6.392046,-0.3125,6.392041,-0.3124995,0,0,None,00:00.0000,0,0,0,0,5.272569E-06
00:02.3550,2.355422,6.392046,-0.3125,6.392045,-0.3124999,0,0,None,00:00.0000,0,0,0,0,1.438252E-06
00:02.3720,2.37209,6.392046,-0.3125,6.392046,-0.3124999,0,0,None,00:00.0000,0,0,0,0,4.80548E-07
00:02.3870,2.386554,6.392046,-0.3125,6.392046,-0.3125,0,0,None,00:00.0000,0,0,0,0,0
00:02.4030,2.403325,6.392046,-0.3125,6.392046,-0.3125,0,0,None,00:00.0000,0,0,0,0,0
00:02.4190,2.418745,6.392046,-0.3125,6.392046,-0.3125,0,0,None,00:00.0000,0,0,0,0,0
00:02.4410,2.441366,6.392046,-0.3125,6.392046,-0.3125,0,0,None,00:00.0000,0,0,0,0,0
00:02.4560,2.455666,6.448864,-0.1704547,6.392046,-0.3125,0,0,None,00:00.0000,0,0,0,0,0.1529873
00:02.4730,2.472546,6.534091,0.02840936,6.407826,-0.2967191,0,0,None,00:00.0000,0,0,0,0,0.3487856
00:02.4880,2.488057,6.761364,0.3977275,6.432966,-0.2281988,0,0,None,00:00.0000,0,0,0,0,0.7068443
00:02.5070,2.507024,7.1875,0.7386363,6.507874,-0.03502741,0,0,None,00:00.0000,0,0,0,0,1.02978
00:02.5320,2.531647,7.357955,0.8806819,6.657381,0.2240218,0,0,None,00:00.0000,0,0,0,0,0.9602116
00:02.5480,2.548296,7.528409,1.022727,7.134489,0.6871748,0,0,triggerEnter,00:00.0000,0,7.384489,0.6871748,7,0.5174643
